,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
0,Jack Grealish,27,7,12,5,0,0,2.275'
1,Romelu Lukaku,44,30,10,7,0,0,3.565'
2,Jadon Sancho,38,16,20,1,0,0,2.974'
3,Lionel Messi,47,38,14,6,0,1,4.192'
4,Raphaël Varane,41,2,0,4,0,0,3.571'
5,Achraf Hakimi,45,7,11,9,0,0,3.211'
6,Dayot Upamecano,41,1,1,10,0,0,3.407'
7,Gianluigi Donnarumma,48,0,3,0,1,54,4.350'
8,Ben White,39,0,0,3,1,0,3.465'
9,David Alaba,45,2,7,7,0,0,3.793'
10,André Silva,34,29,10,1,0,0,2.953'
11,Memphis Depay,40,22,12,5,0,0,3.113'
12,Ibrahima Konaté,21,1,0,4,0,0,1.287'
13,Tammy Abraham,32,12,6,0,0,0,1.533'
14,Emiliano Buendía,41,15,17,4,2,0,3.383'
15,Rodrigo de Paul,38,9,11,3,1,1,3.400'
16,Danny Ings,33,13,4,1,0,0,2.531'
17,Leon Bailey,40,15,11,7,0,0,2.857'
18,Angeliño,37,8,11,5,0,0,3.162'
19,Cristian Romero,42,3,5,15,0,0,3.532'
20,Hakan Calhanoglu,43,9,12,4,0,0,3.348'
21,Cristian Romero,42,3,5,15,0,0,3.532'
22,Patson Daka,42,34,12,4,0,0,2.905'
23,Donyell Malen,45,27,10,3,0,0,3.557'
24,Bryan Gil,30,4,4,6,0,0,2.303'
25,Matteo Politano,50,12,5,5,0,0,2.669'
26,Georginio Wijnaldum,51,3,0,3,0,0,3.922'
27,Joe Willock,32,11,3,2,0,0,1.979'
28,Fikayo Tomori,26,1,0,0,0,0,2.129'
29,Boubakary Soumaré,43,0,2,4,0,0,2.583'
30,Merih Demiral,24,0,1,4,1,0,1.661'
31,Sandro Tonali,37,0,0,3,0,1,2.023'
32,Gerson,14,1,3,2,0,0,1.170'
33,Weston McKennie,46,6,3,5,0,0,2.401'
34,Mike Maignan,48,0,3,0,0,38,4.320'
35,Roger Ibañez,40,2,2,7,1,0,3.000'
36,Emerson Royal,38,2,4,9,0,1,3.181'
37,Nicolás González,17,6,2,6,0,0,1.084'
38,Marc Guehi,45,0,0,8,0,0,3.950'
39,Enock Mwepu,45,10,7,7,0,0,3.442'
40,Odilon Kossounou,42,1,2,5,0,1,3.501'
41,Joachim Andersen,34,1,1,8,0,1,2.921'
42,Noa Lang,38,17,11,6,1,0,2.630'
43,Francisco Trincão,42,3,2,3,0,0,1.309'
44,Juan Musso,36,0,5,0,0,52,3.268'
45,Jhon Córdoba,21,7,2,3,0,0,1.541'
46,Hamed Junior Traorè,35,5,3,6,0,0,1.787'
47,Danilo Pereira,45,2,1,5,0,0,2.861'
48,Musa Barrow,40,9,10,0,0,0,3.089'
49,Eric García,12,0,0,1,0,0,858'
50,Mattéo Guendouzi,24,2,3,5,0,0,1.817'
51,Josko Gvardiol,41,3,3,0,0,0,3.078'
52,Pedrinho,31,1,4,0,0,0,1.093'
53,Matheus Pereira,34,12,6,2,0,1,2.703'
54,Adam Armstrong,43,29,5,3,0,0,3.615'
55,Jannik Vestergaard,32,3,0,4,0,1,2.741'
56,Mohamed Simakan,19,1,1,2,0,0,1.618'
57,Rayan Aït Nouri,27,1,2,2,0,0,1.815'
58,Cengiz Ünder,19,2,3,0,0,0,941'
59,Sergio Agüero,20,6,1,0,0,0,720'
60,William Saliba,30,1,0,5,1,0,2.658'
61,Albert Sambi Lokonga,37,3,3,3,1,0,3.264'
62,Eldor Shomurodov,41,9,3,2,0,0,2.484'
63,Roman Yaremchuk,43,23,8,7,0,1,3.583'
64,Loïc Badé,33,0,0,9,1,0,2.779'
65,Myron Boadu,38,15,2,3,0,0,3.021'
66,Harry Wilson,39,7,12,4,0,0,3.008'
67,Gonzalo Montiel,17,4,0,4,0,0,1.391'
68,Alphonse Areola,37,0,2,0,0,48,3.330'
69,Florian Thauvin,45,8,10,7,0,0,3.414'
70,Rafael Borré,17,8,2,2,0,0,1.175'
71,Pierluigi Gollini,32,0,0,0,1,32,2.789'
72,Zinho Vanheusden,17,0,0,1,0,0,1.240'
73,Denzel Dumfries,41,4,9,10,0,0,3.418'
74,Erik Lamela,35,4,1,5,1,0,1.418'
75,Kristoffer Ajer,46,2,4,1,0,0,3.993'
76,Pepê,5,1,1,0,0,0,198'
77,Benjamin Henrichs,20,0,1,5,0,0,704'
78,Gregor Kobel,34,0,0,0,0,54,3.060'
79,Juan Foyth,32,1,2,7,0,0,2.448'
80,Junior Firpo,18,1,1,3,0,0,864'
81,Calvin Stengs,39,7,6,3,0,1,3.350'
82,Kamaldeen Sulemana,30,10,8,7,1,0,2.503'
83,Baptiste Santamaria,34,1,2,6,0,0,2.568'
84,Jack Harrison,38,8,8,2,0,0,2.988'
85,Razvan Marin,39,3,6,6,0,0,3.135'
86,Michael Olise,46,7,12,3,0,0,3.431'
87,Carles Aleñá,27,2,2,3,0,0,1.537'
88,Grzegorz Krychowiak,35,11,4,10,1,0,3.071'
89,Brahim Díaz,39,7,4,3,0,0,1.868'
90,Marko Grujic,41,3,0,6,1,0,1.759'
91,Conor Gallagher,32,2,2,12,0,0,2.683'
92,Takefusa Kubo,37,2,4,2,1,0,1.488'
93,Matheus Henrique,22,3,1,6,0,0,1.787'
94,Nathan Collins,27,2,1,3,0,1,2.151'
95,Boulaye Dia,39,16,1,2,0,0,3.178'
96,Kayky,31,3,2,1,0,0,1.050'
97,Antonin Barak,36,7,4,5,0,1,2.907'
98,Justin Kluivert,29,4,1,4,0,0,1.029'
99,Sebastiaan Bornauw,28,1,1,5,0,0,2.326'
100,Toby Alderweireld,35,1,0,3,0,0,3.126'
101,Matías Viña,22,2,3,5,0,1,1.694'
102,Elseid Hysaj,29,0,3,3,0,0,2.141'
103,Marlon,25,0,0,4,1,0,1.828'
104,Christos Tzolis,46,16,10,3,0,0,3.008'
105,Imrân Louza,35,7,3,4,0,1,2.566'
106,Jean-Clair Todibo,19,1,0,6,0,0,1.610'
107,Lukas Nmecha,41,21,3,4,0,0,3.434'
108,Steven Berghuis,41,21,16,6,1,1,3.516'
109,Rachid Ghezzal,35,8,18,5,0,0,2.717'
110,Bernard,18,3,1,2,0,0,794'
111,Rui Silva,46,0,3,0,0,67,4.140'
112,João Mário,34,2,2,4,0,0,2.333'
113,Zinho Vanheusden,17,0,0,1,0,0,1.240'
114,Rui Patrício,37,0,1,0,0,51,3.330'
115,Claudinho,25,3,7,3,0,0,1.924'
116,Milot Rashica,26,3,5,0,0,0,1.604'
117,Leonardo Balerdi,25,2,0,6,1,1,1.973'
118,Jean Lucas,25,0,3,3,1,0,1.190'
119,Luiz Araújo,37,4,2,5,0,0,1.946'
120,Lautaro Valenti,12,0,0,0,0,0,514'
121,Igor Coronado,29,17,7,2,0,0,2.319'
122,Lassina Traoré,29,10,9,2,0,0,1.510'
123,Frank Onyeka,41,4,4,11,0,0,3.322'
124,Yoane Wissa,40,11,5,2,0,0,2.800'
125,Talisca,None,None,None,None,None,None,None
126,Alban Lafont,40,0,2,0,0,57,3.600'
127,Mitchel Bakker,40,0,2,2,0,0,2.439'
128,Ludwig Augustinsson,28,0,6,4,0,0,2.359'
129,Mario Lemina,30,1,1,5,0,0,1.849'
130,Felipe Anderson,15,1,3,1,0,0,660'
131,Marko Arnautovic,4,3,0,2,0,0,301'
132,Maxime López,34,2,0,8,0,0,2.069'
133,Pau López,34,0,0,0,1,38,2.926'
134,Sergio Ramos,21,4,1,4,0,0,1.790'
135,Moussa Marega,45,12,5,5,0,0,3.231'
136,Billy Gilmour,14,1,0,0,0,0,936'
137,José Macías,33,12,1,0,0,0,2.424'
138,Vincent Aboubakar,29,16,5,0,0,0,2.280'
139,Hannes Wolf,43,4,2,2,0,0,1.616'
140,Josh Sargent,37,7,3,7,0,0,2.981'
141,Jens Petter Hauge,28,8,3,0,0,0,1.231'
142,Paulinho,None,None,None,None,None,None,None
143,Ben Gibson,29,0,1,5,0,0,2.536'
144,Suat Serdar,26,2,3,3,0,0,2.047'
145,Ante Budimir,33,12,0,4,0,0,1.797'
146,Marco Silvestri,34,0,1,0,0,42,3.060'
147,Marcos Paulo,None,None,None,None,None,None,None
148,Patrick Cutrone,24,0,1,0,0,0,485'
149,Andreas Cornelius,30,1,5,4,0,0,1.973'
150,Romain Perraud,37,3,7,4,0,0,3.152'
151,Aster Vranckx,37,4,2,6,1,1,2.169'
152,Nuno Tavares,25,0,3,5,0,0,1.302'
153,José Sá,44,0,3,0,0,37,3.960'
154,Matteo Lovato,24,0,0,5,0,0,1.380'
155,Ivan Ilic,30,3,0,2,0,0,1.951'
156,Niklas Dorsch,43,4,4,7,0,0,2.887'
157,Piero Hincapié,19,0,0,5,0,0,1.689'
158,Gaël Kakuta,36,11,5,3,0,0,2.429'
159,Florian Müller,31,0,0,0,0,46,2.790'
160,Esteban Andrada,12,0,0,0,0,10,1.080'
161,Demarai Gray,18,4,3,0,0,0,1.013'
162,Yusuf Demir,32,9,3,1,0,0,1.051'
163,Ryan Bertrand,34,0,1,6,0,0,3.044'
164,Aïssa Mandi,32,3,2,4,1,1,2.812'
165,Davy Pröpper,11,0,1,0,0,0,537'
166,Marko Dmitrovic,35,1,0,0,0,49,3.121'
167,Joshua King,25,3,2,0,0,0,892'
168,Joshua Zirkzee,13,0,2,0,0,1,500'
169,Axel Tuanzebe,19,0,0,7,0,0,918'
170,Manu Sánchez,19,0,5,4,0,0,1.231'
171,Dimitrios Giannoulis,36,1,5,7,0,1,2.979'
172,Maximilian Philipp,34,7,2,5,0,0,1.617'
173,Denis Makarov,30,9,1,9,1,0,2.062'
174,Sebastián Driussi,24,2,4,2,0,0,1.354'
175,Brian Brobbey,36,15,6,4,0,0,1.490'
176,Yairo Moreno,28,2,2,5,0,0,1.933'
177,Robin Quaison,30,7,5,1,0,0,1.575'
178,Matías Pellegrini,1,0,0,0,0,0,23'
179,Valentin Rosier,37,3,7,8,0,0,3.336'
180,Marco Richter,30,4,4,2,1,0,1.508'
181,Jesper Lindström,31,10,11,4,0,1,2.520'
182,Amadou Onana,26,3,0,6,1,0,1.536'
183,Victor Nelsson,30,1,0,7,0,1,2.617'
184,Ismail Jakobs,27,2,2,6,0,0,2.034'
185,Robert Andrich,31,5,2,5,0,1,2.648'
186,Kevin Bonifazi,32,0,0,4,0,0,2.667'
187,Pierre Lees Melou,33,5,2,4,0,1,2.389'
188,Henry Onyekuru,19,5,5,1,0,0,1.043'
189,Gabriele Zappa,36,0,4,3,0,0,2.580'
190,Matteo Darmian,36,4,4,6,0,0,1.725'
191,Caleb Ekuban,33,11,4,3,0,0,2.838'
192,Arne Maier,19,0,1,0,0,0,1.077'
193,Omar Richards,42,0,0,8,0,0,3.339'
194,Juan Miranda,25,2,2,4,0,0,1.934'
195,Andros Townsend,36,1,5,0,0,0,2.283'
196,Patrick van Aanholt,23,0,1,2,0,0,1.865'
197,Alex Mowatt,52,8,7,7,0,1,4.544'
198,John Lundstram,32,0,2,8,0,1,2.376'
199,Luis Abram,17,1,0,1,0,0,1.354'
200,Bryan Reynolds,5,0,0,0,0,0,284'
201,Martín Payero,10,0,1,2,1,0,726'
202,Wylan Cyprien,15,0,0,2,0,0,523'
203,Taiwo Awoniyi,22,5,4,0,0,0,1.456'
204,Alexandru Cicaldau,43,12,4,7,0,0,3.482'
205,Stanley Nsoki,24,0,1,7,0,0,1.711'
206,Manuel Ugarte,20,1,2,4,0,1,1.522'
207,Victor Moses,20,4,4,3,1,0,1.591'
208,Fodé Ballo-Touré,29,0,5,4,0,0,1.038'
209,Youssouf Sabaly,33,1,2,4,0,0,2.915'
210,Filip Stevanovic,33,4,2,0,0,0,1.491'
211,Aké Loba,26,6,0,1,0,1,918'
212,Mbwana Samatta,30,6,0,3,0,0,1.553'
213,Ernesto Torregrossa,18,6,4,4,0,0,1.043'
214,Vinícius Tobías,0,0,0,0,0,0,0
215,Soualiho Meïté,37,1,2,2,0,0,2.064'
216,Pablo Rosario,40,1,4,8,0,0,3.141'
217,Gianluca Busio,13,2,2,0,0,0,1.152'
218,Ricardo Esgaio,48,3,7,13,1,0,4.183'
219,Andreas Cornelius,30,1,5,4,0,0,1.973'
220,Érick Aguirre,36,3,6,6,0,0,3.030'
221,Javi Galán,37,1,2,5,0,0,3.067'
222,Sebastián Vegas,36,2,1,6,1,0,2.985'
223,Lucas Olaza,32,1,4,8,0,0,2.877'
224,Mark-Anthony Kaye,12,0,2,0,0,0,931'
225,Johan Vásquez,39,1,1,12,0,0,3.361'
226,Mamadou Sakho,7,0,0,0,0,0,420'
227,Wylan Cyprien,15,0,0,2,0,0,523'
228,Alexander Nübel,4,0,0,0,0,4,360'
229,Mathew Ryan,14,0,1,0,0,21,1.260'
230,Sebastiano Esposito,33,4,3,4,0,0,1.561'
231,Andreaw Gravillon,26,1,2,3,0,1,2.274'
232,Giuseppe Pezzella,24,1,4,7,0,0,1.835'
233,Facundo Pellistri,20,3,1,2,0,0,1.182'
234,Angus Gunn,17,0,2,0,0,23,1.484'
235,Sead Haksabanovic,11,5,5,1,0,0,990'
236,Antonino La Gumina,11,1,0,0,0,0,515'
237,Kevin Danso,33,2,2,4,1,0,2.912'
238,Darío Sarmiento,4,0,0,0,0,0,98'
239,Guilherme Arana,22,3,4,6,0,0,1.926'
240,Darío Sarmiento,4,0,0,0,0,0,98'
241,Kyogo Furuhashi,22,16,2,2,0,0,1.846'
242,Samú Costa,40,2,1,17,0,0,2.727'
243,Yerson Mosquera,19,0,0,6,1,0,1.586'
244,Kamil Piatkowski,33,3,4,6,0,0,2.970'
245,Igor,24,0,0,6,0,0,1.426'
246,Chidozie Awaziem,29,0,1,9,0,2,2.463'
247,Michel-Ange Balikwisha,40,9,4,4,0,0,2.641'
248,Kjell Scherpen,19,0,1,0,0,29,1.710'
249,Carl Starfelt,31,3,1,2,0,0,2.764'
250,Kai Havertz,45,18,9,3,0,0,3.797'
251,Leroy Sané,3,0,0,0,0,0,81'
252,Arthur,28,4,4,2,0,0,1.541'
253,Victor Osimhen,38,18,6,5,0,0,3.012'
254,Rúben Dias,49,3,3,12,0,0,4.410'
255,Timo Werner,45,34,13,5,0,0,3.589'
